 Bytes,  PyBiEn, PyTBiEn,   CBiEn,  CTBiEn
    16, 7.4e-01, 6.6e-01, 3.1e-03, 3.9e-03
    32, 1.6e+00, 1.5e+00, 6.5e-03, 8.1e-03
    64, 3.9e+00, 3.5e+00, 1.5e-02, 1.8e-02
   128, 1.0e+01, 9.2e+00, 3.2e-02, 3.9e-02
   256, 3.0e+01, 2.7e+01, 7.4e-02, 8.7e-02
   512, 1.1e+02, 9.1e+01, 1.7e-01, 2.0e-01
  1024, 4.3e+02, 3.3e+02, 4.5e-01, 5.0e-01
